Index,Name,Latitude,Longitude,Address
487,Tertiary Fitness,5.650639399999999,-0.1870506,Accra
488,Elany's Collection,5.650639399999999,-0.1870506,Accra
489,Fashionmallgh,5.650639399999999,-0.1870506,"MR27+754, Accra"
490,HERBALIFE NUTRITION - BEST INDEPENDENT DISTRIBUTOR- COACH DAN.,5.650639399999999,-0.1870506,"University of Ghana, Accra"
491,Superlife STC30,5.650639399999999,-0.1870506,"TF Hall, Accra"
492,FastRoi Digital Solutions LTD,5.650639399999999,-0.1870506,"Business School, Accra"
493,All Needs Supermarket,5.6429593,-0.1861497,"JRV7+5HR, Jubilee Drive, Accra"
494,Isaac Owusu,5.650639399999999,-0.1870506,"MR27+754, Accra"
495,Tesbury Groceries,5.653317800000001,-0.1788103,"N4 Legon City Mall, Accra"
496,Gratitude Supermarket East Legon,5.640805799999999,-0.1769942,"JRRF+859, La-Bawaleshi Road, Accra"
497,Easy Mart,5.6681139,-0.188343,"MR96+6MV, Agbogba - Ashongman Road, Accra"
498,Sapmart,5.6411743,-0.1728153,"JRRG+FV7, Accra"
499,Legon Taxi Stand,5.6494647,-0.1794245,"JRXC+Q6P, Legon East Road, Accra"
500,Taxi Rank,5.6625652,-0.1814384,"MR79+2CF, Unnamed Road, Accra"
501,Legon Taxi Station,5.640959899999999,-0.178952,"JRRC+9CM, Accra"
502,Quemsa Afrique,5.6415222,-0.1854886,"Jubilee Drive, Accra"
503,Selfie Studio,5.667066200000001,-0.179375,"MR8C+R6X, Haatso, Madina"
504,Legon Trotro Station,5.6495469,-0.1792049,"Legon East Road, Accra"
505,Okponglo Bus Stop,5.641684100000001,-0.178116,Accra
506,Okponglo Bus Stop,5.6397935,-0.17815,"Legon East Road, Accra"
507,Agbogba Junction Bus Stop,5.667410900000001,-0.1882133,Haatso-Atomic Road
508,Ghana Korea Information Access Centre,5.652050199999999,-0.1875867,"W.E.B. Dubois Road, Accra"
509,Emerald’s Eagle Limited,5.650639399999999,-0.1870506,"MR27+754, Accra"
510,Greenlight Travel and Tourism,5.650639399999999,-0.1870506,market 9th street
511,ideal travel,5.650639399999999,-0.1870506,"MR27+754, Accra"
512,Olimef enterprise,5.646771300000001,-0.181174,"police station, Akotiana street,behind Tseaddo, Accra"
513,Switch Car Rentals,5.6397096,-0.1773567,"5 1st Freetown Link, Accra"
514,Pacific Global DMC,5.6408616,-0.1754441,"ECO Bank, La-Bawaleshi Rd, Opp, Accra"
515,Luxurylite Trips Consult,5.6681139,-0.188343,First floor No.1 Selassie junction office of Wisconsin Agbogba road
516,Adansi Travel House,5.641040400000001,-0.1745292,"GA-417-8073, La-Bawaleshi Road, Accra"
517,MyGhanaTours,5.6683172,-0.1883928,"Royal palm street, Agbogba - Ashongman Road, Haatso"
518,Biovell Travel and Tour,5.668813999999999,-0.1860095,18 Kofi Annan Avenue
519,Bill Travel Consult,5.6414658,-0.1732624,"La-Bawaleshi Road, Okponglo"
520,Vensa Travel Services,5.669005500000001,-0.1866342,"10 Kofi Annan Avenue, Accra"
521,Travel Windows and Educational Consult,5.668787500000001,-0.182025,"MR99+G59, Kofi Annan Avenue, B"
522,Sky Success Travels Limited,5.641324400000001,-0.1725391,"39, 10 La-Bawaleshi Road, Accra"
523,University of Ghana,5.650562,-0.1962244,"Legon Boundary, Accra"
524,Department of Music,5.6492089,-0.1807597,"JRX9+PHC, La Road, Accra"
525,School of Engineering Sciences,5.655278699999998,-0.183031,"Annie Jiagge Road, Accra"
526,School of Pharmacy,5.653974900000001,-0.1892706,"Volta Road, Accra"
527,Commonwealth Block A,5.650419200000001,-0.1916814,"MR25+588, Accra"
528,International Programmes Office  University of Ghana,5.653574199999999,-0.1820496,"MR39+C5C, Annie Jiagge Road, Accra"
529,Archaeology Annex,5.652092199999999,-0.1817517,"MR29+R7Q, Osu Road, Accra"
530,Administration and Porters Lodge,5.646266,-0.1870197,"JRW7+G55, Mensah Sarbah Crescent, Accra"
531,Valco Trust Hostel Phase 1,5.6447383,-0.1868546,"JRV7+V7R, Mensah Sarbah Crescent, Accra"
532,ECOWAS Coastal & Marine Resources Management Centre,5.652790800000001,-0.1839263,"MR38+4C8, ARPPIS Building, J.K.M. Hodasi Road, Accra"
533,CEGENSA,5.649100999999999,-0.183773,Accra
534,Students Financial Aid Office and Students with Special Needs Office,5.6479586,-0.1836465,"JRX8+5GQ, Accra"
535,Cash Office,5.6503365,-0.1942295,"MR24+48J, Vice Chancellor's Road, Accra"
536,University of Ghana Registry,5.6501606,-0.1954113,"MR23+3R8, Accra"
537,Benchmark Professional Training Centre,5.640526699999999,-0.1775232,"Legon East Road, Accra"
538,Management Development And Productivity Institute,5.638253,-0.177021,"McDan Dr, 1st Freetown Lk, Okponglo"
539,Institute of African Studies Chalets,5.6364008,-0.1800491,"JRP9+HX8, South Legon Drive, Accra"
540,Balme Library,5.6517352,-0.1870479,"Doutor J. B. Danquah Avenue, Accra"
541,Manaf,5.6520701,-0.1863411,"MR27+RC8, W.E.B. Dubois Road, Accra"
542,Regional Marine Centre,5.650885099999999,-0.1866993,"Top of University bookshop, Doutor J. B. Danquah Avenue, Accra"
543,Small Animal Teaching Hospital (SATH),5.6666871,-0.1857972,Accra
544,East Legon Veterinary Centre,5.641086700000001,-0.1757578,"C33, 29 La-Bawaleshi Road, Accra"
545,Evandy Hostel Legon campus,5.6628555,-0.1833127,MR79+58 Accra
